timestamp,src,dst,protocol,port,payload_preview,alerts
2026-04-19T17:33:16.940834,10.76.24.110,224.0.0.251,UDP,5353,b'\x00\x00\x00\x00\x00\x01\x00\x00\x00\x01\x00\x00\x0eIzNMQVP8n14AAA\r_FC9F5ED42C8A\x04_tcp\x05loc',
2026-04-19T17:33:17.044727,10.76.4.142,224.0.0.251,UDP,5353,b'\x00\x12\x00\x00\x00\x04\x00\x00\x00\x00\x00\x00\x0b_googlecast\x04_tcp\x05local\x00\x00\x0c\x00\x,
2026-04-19T17:33:17.253395,10.76.24.110,224.0.0.251,UDP,5353,b'\x00\x00\x84\x00\x00\x00\x00\x08\x00\x00\x00\x04\x011\x01D\x013\x016\x01F\x018\x01E\x01F\x01F\x01F,
2026-04-19T17:33:17.258682,10.76.26.172,224.0.0.251,UDP,5353,b'\x00\x00\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x10_spotify-connect\x04_tcp\x05local\x00\x00\x0c\,
2026-04-19T17:33:17.262061,10.76.26.127,224.0.0.251,UDP,5353,b'\x00\x1d\x00\x00\x00\x04\x00\x00\x00\x00\x00\x00\x0b_googlecast\x04_tcp\x05local\x00\x00\x0c\x00\x,
2026-04-19T17:33:17.351986,10.76.31.95,224.0.0.251,UDP,5353,b'\x00\x00\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x0b_googlecast\x04_tcp\x05local\x00\x00\x0c\x00\x,
2026-04-19T17:33:17.357838,10.76.31.95,224.0.0.251,UDP,5353,b'\x00\x00\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x0b_googlecast\x04_tcp\x05local\x00\x00\x0c\x00\x,
2026-04-19T17:33:17.359361,10.76.26.172,239.255.255.250,UDP,1900,b'M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nM',
2026-04-19T17:33:17.362613,10.76.31.95,224.0.0.251,UDP,5353,b'\x00\x00\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x0b_googlecast\x04_tcp\x05local\x00\x00\x0c\x00\x,
2026-04-19T17:33:17.364062,10.76.31.95,224.0.0.251,UDP,5353,b'\x00\x00\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x0b_googlecast\x04_tcp\x05local\x00\x00\x0c\x00\x,
2026-04-19T17:33:17.454585,10.76.6.36,224.0.0.251,UDP,5353,b'\x00\x01\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x0b_googlecast\x04_tcp\x05local\x00\x00\x0c\x80\x,
2026-04-19T17:33:17.459123,10.76.6.36,224.0.0.251,UDP,5353,b'\x00\x01\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x0b_googlecast\x04_tcp\x05local\x00\x00\x0c\x80\x,
2026-04-19T17:33:17.461947,10.76.6.36,224.0.0.251,UDP,5353,b'\x00\x01\x00\x00\x00\x03\x00\x00\x00\x00\x00\x00\x0b_googlecast\x04_tcp\x05local\x00\x00\x0c\x80\x,
2026-04-19T17:33:17.861130,10.76.3.131,239.255.255.250,UDP,1900,b'M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nM',
2026-04-19T17:33:18.065412,10.76.29.95,239.255.255.250,UDP,1900,b'M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nM',
2026-04-19T17:33:18.171034,10.76.3.131,239.255.255.250,UDP,1900,b'M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nM',
